Column1;Number;Name;Basin;Birth YMDHM (UTC);Death YMDHM (UTC);Length;Min Pressure (hPa)
44;196420;WILDA;W. N. Pacific;1964;25.09.1964 18:00;156;895
45;196506;AMY;W. N. Pacific;1965;27.05.1965 12:00;120;976
46;196515;JEAN;W. N. Pacific;1965;07.08.1965 00:00;162;940
47;196517;LUCY;W. N. Pacific;1965;23.08.1965 00:00;186;940
48;196523;SHIRLEY;W. N. Pacific;1965;11.09.1965 00:00;126;940
49;196524;TRIX;W. N. Pacific;1965;18.09.1965 06:00;174;935
50;196614;VIOLA;W. N. Pacific;1966;22.08.1966 06:00;84;975
51;196615;WINNIE;W. N. Pacific;1966;23.08.1966 12:00;60;970
52;196619;DORIS;W. N. Pacific;1966;10.09.1966 12:00;84;980
53;196624;HELEN;W. N. Pacific;1966;25.09.1966 12:00;210;978
54;196626;IDA;W. N. Pacific;1966;25.09.1966 00:00;60;960
55;196715;NO-NAME;W. N. Pacific;1967;13.08.1967 00:00;18;988
56;196718;LOUISE;W. N. Pacific;1967;23.08.1967 00:00;114;980
57;196734;DINAH;W. N. Pacific;1967;28.10.1967 00:00;258;950
58;196804;MARY;W. N. Pacific;1968;29.07.1968 06:00;198;925
59;196810;TRIX;W. N. Pacific;1968;29.08.1968 12:00;132;980
60;196816;DELLA;W. N. Pacific;1968;25.09.1968 06:00;198;930
61;196907;ALICE;W. N. Pacific;1969;05.08.1969 00:00;60;985
62;196909;CORA;W. N. Pacific;1969;23.08.1969 12:00;186;935
63;197002;OLGA;W. N. Pacific;1970;06.07.1970 00:00;162;905
64;197009;WILDA;W. N. Pacific;1970;16.08.1970 00:00;162;940
65;197010;ANITA;W. N. Pacific;1970;22.08.1970 18:00;156;910
66;197113;IVY;W. N. Pacific;1971;08.07.1971 18:00;84;990
67;197119;OLIVE;W. N. Pacific;1971;07.08.1971 06:00;186;935
68;197123;TRIX;W. N. Pacific;1971;01.09.1971 12:00;276;915
69;197129;CARMEN;W. N. Pacific;1971;26.09.1971 18:00;24;990
70;197206;PHYLLIS;W. N. Pacific;1972;15.07.1972 12:00;204;945
71;197209;TESS;W. N. Pacific;1972;24.07.1972 06:00;372;940
72;197220;HELEN;W. N. Pacific;1972;19.09.1972 00:00;138;955
73;197306;ELLEN;W. N. Pacific;1973;29.07.1973 00:00;126;940
74;197414;MARY;W. N. Pacific;1974;26.08.1974 12:00;282;965
75;197416;POLLY;W. N. Pacific;1974;03.09.1974 00:00;180;950
76;197418;SHIRLEY;W. N. Pacific;1974;09.09.1974 00:00;102;970
77;197505;PHYLLIS;W. N. Pacific;1975;18.08.1975 00:00;138;920
78;197506;RITA;W. N. Pacific;1975;24.08.1975 00:00;120;965
79;197612;ANITA;W. N. Pacific;1976;25.07.1976 00:00;42;980
80;197617;FRAN;W. N. Pacific;1976;14.09.1976 00:00;234;910
81;197707;AMY;W. N. Pacific;1977;24.08.1977 18:00;162;985
82;197803;POLLY;W. N. Pacific;1978;20.06.1978 12:00;54;985
83;197808;WENDY;W. N. Pacific;1978;03.08.1978 06:00;240;960
84;197813;NO-NAME;W. N. Pacific;1978;20.08.1978 12:00;36;998
85;197818;IRMA;W. N. Pacific;1978;15.09.1978 18:00;96;970
86;197912;KEN;W. N. Pacific;1979;05.09.1979 00:00;60;990
87;197916;OWEN;W. N. Pacific;1979;01.10.1979 06:00;192;920
88;197920;TIP;W. N. Pacific;1979;19.10.1979 18:00;324;870
89;198013;ORCHID;W. N. Pacific;1980;12.09.1980 00:00;120;960
90;198105;JUNE;W. N. Pacific;1981;22.06.1981 18:00;126;965
91;198110;OGDEN;W. N. Pacific;1981;31.07.1981 00:00;66;975
92;198115;THAD;W. N. Pacific;1981;23.08.1981 12:00;174;955
93;198210;BESS;W. N. Pacific;1982;02.08.1982 06:00;240;900
94;198213;ELLIS;W. N. Pacific;1982;28.08.1982 00:00;198;915
95;198218;JUDY;W. N. Pacific;1982;13.09.1982 00:00;168;955
96;198219;KEN;W. N. Pacific;1982;25.09.1982 06:00;210;940
97;198305;ABBY;W. N. Pacific;1983;19.08.1983 00:00;330;895
98;198310;FORREST;W. N. Pacific;1983;28.09.1983 06:00;186;885
99;198506;IRMA;W. N. Pacific;1985;01.07.1985 06:00;144;960
100;198513;PAT;W. N. Pacific;1985;01.09.1985 12:00;150;955
101;198514;RUBY;W. N. Pacific;1985;01.09.1985 00:00;96;985
102;198719;KELLY;W. N. Pacific;1987;17.10.1987 12:00;162;955
103;198811;NO-NAME;W. N. Pacific;1988;15.08.1988 12:00;18;1000
104;198813;NO-NAME;W. N. Pacific;1988;16.08.1988 06:00;12;1000
105;198906;ELLIS;W. N. Pacific;1989;24.06.1989 03:00;33;985
106;198911;JUDY;W. N. Pacific;1989;29.07.1989 00:00;144;940
107;198913;MAC;W. N. Pacific;1989;07.08.1989 18:00;180;950
108;198917;ROGER;W. N. Pacific;1989;28.08.1989 12:00;78;975
109;198922;WAYNE;W. N. Pacific;1989;20.09.1989 06:00;69;970
110;199011;WINONA;W. N. Pacific;1990;11.08.1990 12:00;114;975
111;199014;ZOLA;W. N. Pacific;1990;23.08.1990 00:00;138;960
112;199019;FLO;W. N. Pacific;1990;20.09.1990 06:00;174;890
113;199020;GENE;W. N. Pacific;1990;30.09.1990 12:00;156;950
114;199021;HATTIE;W. N. Pacific;1990;08.10.1990 09:00;165;950
115;199028;PAGE;W. N. Pacific;1990;30.11.1990 09:00;195;910
116;199114;HARRY;W. N. Pacific;1991;31.08.1991 12:00;36;992
117;199117;KINNA;W. N. Pacific;1991;14.09.1991 12:00;78;955
118;199119;MIREILLE;W. N. Pacific;1991;28.09.1991 06:00;294;925
119;199209;IRVING;W. N. Pacific;1992;04.08.1992 12:00;60;980
120;199210;JANIS;W. N. Pacific;1992;09.08.1992 03:00;129;935
121;199211;KENT;W. N. Pacific;1992;19.08.1992 06:00;312;930
122;199304;NATHAN;W. N. Pacific;1993;25.07.1993 03:00;123;980
123;199305;OFELIA;W. N. Pacific;1993;27.07.1993 18:00;48;990
124;199306;PERCY;W. N. Pacific;1993;30.07.1993 12:00;54;975
125;199311;VERNON;W. N. Pacific;1993;28.08.1993 06:00;144;965
126;199313;YANCY;W. N. Pacific;1993;04.09.1993 12:00;132;925
127;199314;ZOLA;W. N. Pacific;1993;09.09.1993 06:00;60;985
128;199407;WALT;W. N. Pacific;1994;25.07.1994 21:00;225;915
129;199411;BRENDAN;W. N. Pacific;1994;02.08.1994 18:00;108;992
130;199426;ORCHID;W. N. Pacific;1994;30.09.1994 06:00;276;925
131;199514;RYAN;W. N. Pacific;1995;24.09.1995 09:00;195;940
132;199606;EVE;W. N. Pacific;1996;19.07.1996 06:00;120;940
133;199612;KIRK;W. N. Pacific;1996;16.08.1996 00:00;246;955
134;199707;OPAL;W. N. Pacific;1997;21.06.1997 00:00;120;960
135;199708;PETER;W. N. Pacific;1997;28.06.1997 21:00;111;970
136;199709;ROSIE;W. N. Pacific;1997;27.07.1997 21:00;189;920
137;199719;OLIWA;W. N. Pacific;1997;16.09.1997 21:00;309;915
138;199805;STELLA;W. N. Pacific;1998;16.09.1998 12:00;66;965
139;199807;VICKI;W. N. Pacific;1998;23.09.1998 00:00;132;960
140;199808;WALDO;W. N. Pacific;1998;21.09.1998 12:00;30;994
141;199810;ZEB;W. N. Pacific;1998;18.10.1998 00:00;174;900
142;199916;ZIA;W. N. Pacific;1999;15.09.1999 06:00;24;985
143;199918;BART;W. N. Pacific;1999;25.09.1999 03:00;147;930
144;200111;PABUK;W. N. Pacific;2001;22.08.2001 18:00;198;960
145;200115;DANAS;W. N. Pacific;2001;12.09.2001 06:00;198;945
146;200206;CHATAAN;W. N. Pacific;2002;11.07.2002 15:00;303;930
147;200207;HALONG;W. N. Pacific;2002;16.07.2002 18:00;216;945
148;200221;HIGOS;W. N. Pacific;2002;02.10.2002 06:00;132;930
149;200304;LINFA;W. N. Pacific;2003;31.05.2003 00:00;120;980
150;200310;ETAU;W. N. Pacific;2003;09.08.2003 18:00;156;945
151;200404;CONSON;W. N. Pacific;2004;11.06.2004 09:00;111;960
152;200406;DIANMU;W. N. Pacific;2004;21.06.2004 18:00;198;915
153;200410;NAMTHEUN;W. N. Pacific;2004;02.08.2004 00:00;192;935
154;200411;MALOU;W. N. Pacific;2004;04.08.2004 21:00;21;996
155;200415;MEGI;W. N. Pacific;2004;20.08.2004 09:00;99;970
156;200416;CHABA;W. N. Pacific;2004;31.08.2004 06:00;282;910
157;200418;SONGDA;W. N. Pacific;2004;08.09.2004 00:00;264;925
158;200421;MEARI;W. N. Pacific;2004;30.09.2004 00:00;222;940
159;200422;MA-ON;W. N. Pacific;2004;10.10.2004 00:00;138;920
160;200423;TOKAGE;W. N. Pacific;2004;20.10.2004 18:00;186;940
161;200507;BANYAN;W. N. Pacific;2005;28.07.2005 00:00;150;975
162;200511;MAWAR;W. N. Pacific;2005;28.08.2005 00:00;198;930
163;200514;NABI;W. N. Pacific;2005;08.09.2005 06:00;234;925
164;200610;WUKONG;W. N. Pacific;2006;19.08.2006 12:00;156;980
165;200613;SHANSHAN;W. N. Pacific;2006;18.09.2006 12:00;192;919
166;200704;MAN-YI;W. N. Pacific;2007;16.07.2007 00:00;168;930
167;200705;USAGI;W. N. Pacific;2007;04.08.2007 06:00;144;945
168;200709;FITOW;W. N. Pacific;2007;08.09.2007 00:00;240;965
169;200918;MELOR;W. N. Pacific;2009;08.10.2009 12:00;204;910
170;201004;DIANMU;W. N. Pacific;2010;12.08.2010 18:00;102;985
171;201009;MALOU;W. N. Pacific;2010;08.09.2010 03:00;99;992
172;201106;MA-ON;W. N. Pacific;2011;24.07.2011 12:00;300;935
173;201112;TALAS;W. N. Pacific;2011;05.09.2011 06:00;270;970
174;201115;ROKE;W. N. Pacific;2011;22.09.2011 06:00;216;940
175;201204;GUCHOL;W. N. Pacific;2012;20.06.2012 00:00;156;930
176;201217;JELAWAT;W. N. Pacific;2012;01.10.2012 12:00;258;905
177;201317;TORAJI;W. N. Pacific;2013;04.09.2013 00:00;54;985
178;201318;MAN-YI;W. N. Pacific;2013;16.09.2013 12:00;84;960
179;201408;NEOGURI;W. N. Pacific;2014;11.07.2014 00:00;174;930
180;201411;HALONG;W. N. Pacific;2014;11.08.2014 00:00;312;920
181;201418;PHANFONE;W. N. Pacific;2014;06.10.2014 12:00;174;935
182;201419;VONGFONG;W. N. Pacific;2014;14.10.2014 00:00;246;900
183;201511;NANGKA;W. N. Pacific;2015;17.07.2015 12:00;330;925
184;201512;HALOLA;W. N. Pacific;2015;26.07.2015 12:00;258;955
185;201515;GONI;W. N. Pacific;2015;25.08.2015 12:00;258;930
186;201518;ETAU;W. N. Pacific;2015;09.09.2015 06:00;42;985
187;201606;CONSON;W. N. Pacific;2016;15.08.2016 00:00;144;985
188;201607;CHANTHU;W. N. Pacific;2016;17.08.2016 18:00;96;980
189;201609;MINDULLE;W. N. Pacific;2016;23.08.2016 03:00;93;975
190;201610;LIONROCK;W. N. Pacific;2016;30.08.2016 15:00;219;940
191;201611;KOMPASU;W. N. Pacific;2016;21.08.2016 18:00;42;994
192;201612;NAMTHEUN;W. N. Pacific;2016;04.09.2016 18:00;90;955
193;201616;MALAKAS;W. N. Pacific;2016;20.09.2016 12:00;186;930
194;201703;NANMADOL;W. N. Pacific;2017;05.07.2017 00:00;72;985
195;201705;NORU;W. N. Pacific;2017;08.08.2017 12:00;456;935
196;201718;TALIM;W. N. Pacific;2017;17.09.2017 18:00;198;935
197;201721;LAN;W. N. Pacific;2017;23.10.2017 00:00;174;915
198;201722;SAOLA;W. N. Pacific;2017;29.10.2017 12:00;120;975
199;201810;AMPIL;W. N. Pacific;2018;23.07.2018 12:00;120;985
200;201812;JONGDARI;W. N. Pacific;2018;03.08.2018 00:00;216;960
201;201815;LEEPI;W. N. Pacific;2018;15.08.2018 00:00;84;994
202;201820;CIMARON;W. N. Pacific;2018;24.08.2018 12:00;144;950
203;201821;JEBI;W. N. Pacific;2018;05.09.2018 00:00;198;915
204;201824;TRAMI;W. N. Pacific;2018;01.10.2018 00:00;234;915
205;201906;NARI;W. N. Pacific;2019;27.07.2019 06:00;36;998
206;201908;FRANCISCO;W. N. Pacific;2019;07.08.2019 00:00;108;970
207;201910;KROSA;W. N. Pacific;2019;16.08.2019 12:00;246;965
208;201915;FAXAI;W. N. Pacific;2019;10.09.2019 00:00;126;955
209;201919;HAGIBIS;W. N. Pacific;2019;13.10.2019 03:00;177;915
210;202108;NEPARTAK;W. N. Pacific;2021;28.07.2021 06:00;114;990
211;202109;LUPIT;W. N. Pacific;2021;09.08.2021 00:00;120;984
212;202114;CHANTHU;W. N. Pacific;2021;18.09.2021 06:00;282;905
